file,extractor,time_taken,chars_status,extracted_chars,baseline_chars,output_file
sample.pdf,pymupdf,0.009,ALL_EXTRACTED,943,943,extracted_sample_pymupdf.txt
sample.pdf,pymupdf4llm,0.07,ALL_EXTRACTED,938,943,extracted_sample_pymupdf4llm.txt
sample.pdf,pypdf,0.027,ALL_EXTRACTED,942,943,extracted_sample_pypdf.txt
sample.pdf,pdfplumber,0.074,ALL_EXTRACTED,918,943,extracted_sample_pdfplumber.txt
sample2.pdf,pymupdf,0.017,ALL_EXTRACTED,1099,1099,extracted_sample2_pymupdf.txt
sample2.pdf,pymupdf4llm,0.145,ALL_EXTRACTED,1212,1099,extracted_sample2_pymupdf4llm.txt
sample2.pdf,pypdf,0.076,ALL_EXTRACTED,1088,1099,extracted_sample2_pypdf.txt
sample2.pdf,pdfplumber,0.17,ALL_EXTRACTED,1091,1099,extracted_sample2_pdfplumber.txt
sample3.pdf,pymupdf,0.006,ALL_EXTRACTED,4552,4552,extracted_sample3_pymupdf.txt
sample3.pdf,pymupdf4llm,0.695,ALL_EXTRACTED,6239,4552,extracted_sample3_pymupdf4llm.txt
sample3.pdf,pypdf,0.049,ALL_EXTRACTED,4386,4552,extracted_sample3_pypdf.txt
sample3.pdf,pdfplumber,0.256,PARTIAL_EXTRACTION,4056,4552,extracted_sample3_pdfplumber.txt
